"age_years","age_months","type","percentile","value"
12.5,150,"height","P25",152.65
13,156,"height","P25",155.03
13.5,162,"height","P25",156.89
14,168,"height","P25",158.34
14.5,174,"height","P25",159.44
15,180,"height","P25",160.23
15.5,186,"height","P25",160.76
16,192,"height","P25",161.07
16.5,198,"height","P25",161.18
17,204,"height","P25",161.23
17.5,210,"height","P25",161.34
18,216,"height","P25",161.46
0,0,"height","P50",51.32
0.0833333333333333,1,"height","P50",54.94
0.166666666666667,2,"height","P50",57.63
0.25,3,"height","P50",59.81
0.333333333333333,4,"height","P50",62.3
0.416666666666667,5,"height","P50",64.54
0.5,6,"height","P50",66.48
0.583333333333333,7,"height","P50",68.19
0.666666666666667,8,"height","P50",69.73
0.75,9,"height","P50",71.16
0.833333333333333,10,"height","P50",72.53
0.916666666666667,11,"height","P50",73.84
1,12,"height","P50",75.09
1.25,15,"height","P50",78.54
1.5,18,"height","P50",81.59
1.75,21,"height","P50",84.28
2,24,"height","P50",86.73
2.5,30,"height","P50",91.34
3,36,"height","P50",95.75
3.5,42,"height","P50",99.79
4,48,"height","P50",103.51
4.5,54,"height","P50",107.15
5,60,"height","P50",110.82
5.5,66,"height","P50",114.31
6,72,"height","P50",117.59
6.5,78,"height","P50",120.69
7,84,"height","P50",123.65
7.5,90,"height","P50",126.56
8,96,"height","P50",129.49
8.5,102,"height","P50",132.4
9,108,"height","P50",135.28
9.5,114,"height","P50",138.18
10,120,"height","P50",141.18
10.5,126,"height","P50",144.33
11,132,"height","P50",147.65
11.5,138,"height","P50",151.04
12,144,"height","P50",154.31
12.5,150,"height","P50",157.22
13,156,"height","P50",159.53
13.5,162,"height","P50",161.33
14,168,"height","P50",162.74
14.5,174,"height","P50",163.81
15,180,"height","P50",164.58
15.5,186,"height","P50",165.09
16,192,"height","P50",165.39
16.5,198,"height","P50",165.5
17,204,"height","P50",165.54
17.5,210,"height","P50",165.65
18,216,"height","P50",165.77
0,0,"height","P75",52.85
0.0833333333333333,1,"height","P75",56.53
0.166666666666667,2,"height","P75",59.27
0.25,3,"height","P75",61.5
0.333333333333333,4,"height","P75",64
0.416666666666667,5,"height","P75",66.24
0.5,6,"height","P75",68.19
0.583333333333333,7,"height","P75",69.89
0.666666666666667,8,"height","P75",71.43
0.75,9,"height","P75",72.87
0.833333333333333,10,"height","P75",74.24
0.916666666666667,11,"height","P75",75.57
1,12,"height","P75",76.84
1.25,15,"height","P75",80.36
1.5,18,"height","P75",83.49
1.75,21,"height","P75",86.27
2,24,"height","P75",88.81
2.5,30,"height","P75",93.58
3,36,"height","P75",98.15
3.5,42,"height","P75",102.34
4,48,"height","P75",106.2
4.5,54,"height","P75",109.98
5,60,"height","P75",113.8
5.5,66,"height","P75",117.43
6,72,"height","P75",120.83
6.5,78,"height","P75",124.06
7,84,"height","P75",127.15
7.5,90,"height","P75",130.2
8,96,"height","P75",133.29
8.5,102,"height","P75",136.35
9,108,"height","P75",139.39
9.5,114,"height","P75",142.43
10,120,"height","P75",145.57
10.5,126,"height","P75",148.84
11,132,"height","P75",152.24
11.5,138,"height","P75",155.66
12,144,"height","P75",158.92
12.5,150,"height","P75",161.78
13,156,"height","P75",164.03
13.5,162,"height","P75",165.78
14,168,"height","P75",167.14
14.5,174,"height","P75",168.18
15,180,"height","P75",168.92
15.5,186,"height","P75",169.42
16,192,"height","P75",169.71
16.5,198,"height","P75",169.82
17,204,"height","P75",169.86
17.5,210,"height","P75",169.97
18,216,"height","P75",170.08
0,0,"height","P90",54.17
0.0833333333333333,1,"height","P90",57.93
0.166666666666667,2,"height","P90",60.74
0.25,3,"height","P90",63.02
0.333333333333333,4,"height","P90",65.53
0.416666666666667,5,"height","P90",67.77
0.5,6,"height","P90",69.72
0.583333333333333,7,"height","P90",71.42
0.666666666666667,8,"height","P90",72.96
0.75,9,"height","P90",74.4
0.833333333333333,10,"height","P90",75.78
0.916666666666667,11,"height","P90",77.12
1,12,"height","P90",78.41
1.25,15,"height","P90",81.99
1.5,18,"height","P90",85.21
1.75,21,"height","P90",88.06
2,24,"height","P90",90.69
2.5,30,"height","P90",95.6
3,36,"height","P90",100.31
3.5,42,"height","P90",104.64
4,48,"height","P90",108.62
4.5,54,"height","P90",112.54
5,60,"height","P90",116.49
5.5,66,"height","P90",120.23
6,72,"height","P90",123.75
6.5,78,"height","P90",127.1
7,84,"height","P90",130.31
7.5,90,"height","P90",133.48
8,96,"height","P90",136.7
8.5,102,"height","P90",139.9
9,108,"height","P90",143.08
9.5,114,"height","P90",146.26
10,120,"height","P90",149.53
10.5,126,"height","P90",152.89
11,132,"height","P90",156.37
11.5,138,"height","P90",159.82
12,144,"height","P90",163.07
12.5,150,"height","P90",165.89
13,156,"height","P90",168.08
13.5,162,"height","P90",169.78
14,168,"height","P90",171.1
14.5,174,"height","P90",172.11
15,180,"height","P90",172.83
15.5,186,"height","P90",173.31
16,192,"height","P90",173.6
16.5,198,"height","P90",173.7
17,204,"height","P90",173.74
17.5,210,"height","P90",173.85
18,216,"height","P90",173.96
0,0,"height","P97",55.48
0.0833333333333333,1,"height","P97",59.32
0.166666666666667,2,"height","P97",62.19
0.25,3,"height","P97",64.53
0.333333333333333,4,"height","P97",67.04
0.416666666666667,5,"height","P97",69.28
0.5,6,"height","P97",71.23
0.583333333333333,7,"height","P97",72.93
0.666666666666667,8,"height","P97",74.47
0.75,9,"height","P97",75.91
0.833333333333333,10,"height","P97",77.31
0.916666666666667,11,"height","P97",78.65
1,12,"height","P97",79.95
1.25,15,"height","P97",83.6
1.5,18,"height","P97",86.9
1.75,21,"height","P97",89.83
2,24,"height","P97",92.53
2.5,30,"height","P97",97.59
3,36,"height","P97",102.45
3.5,42,"height","P97",106.9
4,48,"height","P97",111.01
4.5,54,"height","P97",115.06
5,60,"height","P97",119.14
5.5,66,"height","P97",123
6,72,"height","P97",126.64
6.5,78,"height","P97",130.09
7,84,"height","P97",133.42
7.5,90,"height","P97",136.71
8,96,"height","P97",140.07
8.5,102,"height","P97",143.41
9,108,"height","P97",146.73
9.5,114,"height","P97",150.05
10,120,"height","P97",153.44
10.5,126,"height","P97",156.9
11,132,"height","P97",160.44
11.5,138,"height","P97",163.92
12,144,"height","P97",167.17
12.5,150,"height","P97",169.94
13,156,"height","P97",172.08
13.5,162,"height","P97",173.73
14,168,"height","P97",175.01
14.5,174,"height","P97",175.99
15,180,"height","P97",176.69
15.5,186,"height","P97",177.16
16,192,"height","P97",177.43
16.5,198,"height","P97",177.54
17,204,"height","P97",177.57
17.5,210,"height","P97",177.68
18,216,"height","P97",177.78
